Código CTP,Código Distrito Inicio,Código Cantón Inicio,Cantón Inicio,Código Distrito Final,Final,Cantón Final,Extensión (km)
655,101,101,SAN JOSÉ,61101,611,GARABITO,227
601,101,101,SAN JOSÉ,61003,610,CORREDORES,671
601,101,101,SAN JOSÉ,60803,608,COTO BRUS,574
699 BS,101,101,SAN JOSÉ,60702,607,GOLFITO,723
601,101,101,SAN JOSÉ,60701,607,GOLFITO,675
613,101,101,SAN JOSÉ,60601,606,QUEPOS,271
639,101,101,SAN JOSÉ,60504,605,OSA,478
601,101,101,SAN JOSÉ,60501,605,OSA,541
602,101,101,SAN JOSÉ,60401,604,MONTES DE ORO,220
675,101,101,SAN JOSÉ,60109,601,PUNTARENAS,300
631 A,101,101,SAN JOSÉ,60105,601,PUNTARENAS,110
1507,101,101,SAN JOSÉ,51103,511,HOJANCHA,502
1507,101,101,SAN JOSÉ,51101,511,HOJANCHA,412
505,101,101,SAN JOSÉ,51001,510,LA CRUZ,586
549,101,101,SAN JOSÉ,50906,509,NANDAYURE,609
504,101,101,SAN JOSÉ,50701,507,ABANGARES,302
570,101,101,SAN JOSÉ,50503,505,CARRILLO,511
510,101,101,SAN JOSÉ,50401,504,BAGACES,382
503,101,101,SAN JOSÉ,50309,503,SANTA CRUZ,600
1511,101,101,SAN JOSÉ,50308,503,SANTA CRUZ,591
503 A,101,101,SAN JOSÉ,50303,503,SANTA CRUZ,613
1501,101,101,SAN JOSÉ,50302,503,SANTA CRUZ,479
503 A,101,101,SAN JOSÉ,50301,503,SANTA CRUZ,542
1507,101,101,SAN JOSÉ,50206,502,NICOYA,534
1507,101,101,SAN JOSÉ,50201,502,SANTA CRUZ,418
500,101,101,SAN JOSÉ,50101,501,LIBERIA,432
200,101,101,SAN JOSÉ,40801,408,FLORES,34
217,101,101,SAN JOSÉ,40701,407,BELÉN,14
436,101,101,SAN JOSÉ,40601,406,SAN RAFAEL,34
407,101,101,SAN JOSÉ,40501,405,SAN RAFAEL,31
20,101,101,SAN JOSÉ,40308,403,SANTO DOMINGO,23
20,101,101,SAN JOSÉ,40306,403,SANTO DOMINGO,20
20,101,101,SAN JOSÉ,40305,403,SANTO DOMINGO,19
20,101,101,SAN JOSÉ,40303,403,SANTO DOMINGO,13
20,101,101,SAN JOSÉ,40302,403,SANTO DOMINGO,17
400,101,101,SAN JOSÉ,40104,401,HEREDIA,24
400,101,101,SAN JOSÉ,40103,401,HEREDIA,23
300,101,101,SAN JOSÉ,30801,308,GUARCO,26
307,101,101,SAN JOSÉ,30705,307,OREAMUNO,59
302,101,101,SAN JOSÉ,30501,305,TURRIALBA,125
72-64-61 A,101,101,SAN JOSÉ,30308,303,LA UNIÓN,19
50,101,101,SAN JOSÉ,30307,303,LA UNIÓN,26
306,101,101,SAN JOSÉ,30306,303,LA UNIÓN,27
58,101,101,SAN JOSÉ,30305,303,LA UNIÓN,23
301,101,101,SAN JOSÉ,30304,303,LA UNIÓN,25
304,101,101,SAN JOSÉ,30303,303,LA UNIÓN,20
304,101,101,SAN JOSÉ,30302,303,LA UNIÓN,21
316 SD,101,101,SAN JOSÉ,30201,302,PARAÍSO,60
300,101,101,SAN JOSÉ,30109,301,CARTAGO,49
126,101,101,SAN JOSÉ,30107,301,CARTAGO,58
300,101,101,SAN JOSÉ,30106,301,CARTAGO,46
300,101,101,SAN JOSÉ,30105,301,CARTAGO,27
300,101,101,SAN JOSÉ,30104,301,CARTAGO,20
300,101,101,SAN JOSÉ,30101,301,CARTAGO,25
205,101,101,SAN JOSÉ,21501,215,GUATUSO,377
